component,feature,gain,gain_fraction,split_count,split_fraction,gain_rank,split_rank
scheduler,interarrival_ms,8278.50163955614,0.02905406561089286,353,0.10534168904804536,7,2
scheduler,arrival_offset_s,4952.0987068116665,0.017379787672185332,252,0.07520143240823635,8,5
scheduler,output_tokens,3232.722065858543,0.011345497421230328,286,0.0853476574156968,9,3
scheduler,router_initial_waiting_reqs,2958.863178253174,0.0103843676860384,42,0.012533572068039392,10,20
scheduler,router_initial_total_running_reqs,2756.6831963285804,0.009674800820462322,131,0.03909280811698001,11,11
scheduler,home_cached_prefix_tokens,2584.399402141571,0.009070157024043226,91,0.027156072814085348,12,12
scheduler,router_initial_required_kv_bytes,2193.0995591320097,0.007696858834669259,153,0.045658012533572066,13,9
scheduler,global_arrivals_5s,2050.76461699605,0.007197322937040018,155,0.0462548492987168,14,8
scheduler,router_initial_min_available_kv_bytes,1608.1884484291077,0.005644066369701712,65,0.01939719486720382,15,17
scheduler,request_rate_rps,1498.5524706840515,0.0052592901107348725,67,0.019994031632348554,16,16
scheduler,router_initial_admissible_candidate_count,1461.8029403686523,0.005130314686021379,63,0.018800358102059087,17,19
scheduler,policy_NEAREST_MIGRATE_KV,1184.5393962860107,0.004157236035798672,24,0.007162041181736795,18,24
scheduler,router_initial_min_capacity_pressure,1166.0603702068329,0.004092382411374118,87,0.025962399283795883,19,13
scheduler,router_initial_max_capacity_pressure,1078.3872119188309,0.003784686429163697,87,0.025962399283795883,20,13
scheduler,router_initial_slot_pressure,1033.207064628601,0.0036261230778673725,21,0.006266786034019696,21,25
scheduler,global_arrivals_1s,815.1957657076418,0.0028609949352938406,65,0.01939719486720382,22,17
scheduler,home_workload_share,659.8855030536652,0.002315921109417836,28,0.008355714712026261,23,22
scheduler,home_arrivals_5s,580.2505893707275,0.002036435991482181,30,0.008952551477170993,24,21
scheduler,policy_NEAREST_MIGRATE,459.18220138549805,0.0016115367716619522,7,0.0020889286780065653,25,28
scheduler,router_initial_max_available_kv_bytes,341.8051915168762,0.0011995927394667489,26,0.007758877946881528,26,23
scheduler,router_initial_max_running_reqs,194.5886993408203,0.0006829246503706221,14,0.0041778573560131305,27,26
scheduler,input_tokens,131.09152019023895,0.00046007620635599687,10,0.0029841838257236644,28,27
scheduler,router_initial_total_waiting_reqs,66.74075031280518,0.0002342320172098711,5,0.0014920919128618322,29,29
scheduler,router_initial_max_waiting_reqs,12.391300201416016,4.3488262095157786e-05,1,0.0002984183825723665,30,30
