prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,128,8,512,25.729
16,128,8,1024,29.92
16,128,8,2048,37.984
16,128,8,4096,53.888
16,128,8,8192,89.792
16,128,8,16384,159.488
16,128,16,16,15.584
16,128,16,32,16
16,128,16,64,16.128
16,128,16,128,19.648
16,128,16,256,21.92
16,128,16,512,29.696
16,128,16,1024,38.528
16,128,16,2048,56.8
16,128,16,4096,93.44
16,128,16,8192,159.072
16,128,16,16384,306.304
16,128,32,16,17.376
16,128,32,32,17.536
16,128,32,64,18.624
16,128,32,128,22.048
16,128,32,256,26.016
16,128,32,512,37.728
16,128,32,1024,56.288
16,128,32,2048,91.008
16,128,32,4096,161.824
16,128,32,8192,302.465
16,128,32,16384,578.272
16,128,64,16,24.16
16,128,64,32,24.352
16,128,64,64,25.856
16,128,64,128,31.712
16,128,64,256,40.512
16,128,64,512,61.857
16,128,64,1024,95.168
16,128,64,2048,164.832
16,128,64,4096,301.888
16,128,64,8192,580.673
16,128,64,16384,1139.78
16,128,128,16,37.824
16,128,128,32,38.048
16,128,128,64,39.744
16,128,128,128,52.416
16,128,128,256,66.432
16,128,128,512,106.913
16,128,128,1024,170.56
16,128,128,2048,306.593
16,128,128,4096,582.88
16,128,128,8192,1134.08
16,128,128,16384,2244.1
16,256,0,0,14.368
16,256,1,16,14.144
16,256,1,32,14.4
16,256,1,64,14.048
16,256,1,128,14.4
16,256,1,256,14.272
16,256,1,512,16.64
16,256,1,1024,16.672
16,256,1,2048,17.855
16,256,1,4096,20
16,256,1,8192,24.895
16,256,1,16384,36.831
16,256,2,16,14.528
16,256,2,32,14.112
16,256,2,64,14.336
16,256,2,128,14.336
16,256,2,256,14.816
16,256,2,512,17.057
16,256,2,1024,17.6
16,256,2,2048,19.68
16,256,2,4096,24.385
16,256,2,8192,37.44
16,256,2,16384,56.736
16,256,4,16,14.432
16,256,4,32,14.688
16,256,4,64,14.496
16,256,4,128,14.88
16,256,4,256,14.976
16,256,4,512,18.016
16,256,4,1024,20.416
16,256,4,2048,29.696
16,256,4,4096,40.672
16,256,4,8192,56.704
16,256,4,16384,92.417
16,256,8,16,13.92
16,256,8,32,13.952
16,256,8,64,14.272
16,256,8,128,14.656
16,256,8,256,15.072
16,256,8,512,25.696
16,256,8,1024,29.472
16,256,8,2048,39.617
16,256,8,4096,54.24
16,256,8,8192,89.792
16,256,8,16384,160.48
16,256,16,16,15.808
16,256,16,32,15.872
16,256,16,64,16.416
16,256,16,128,19.936
16,256,16,256,23.04
16,256,16,512,31.904
16,256,16,1024,40.129
16,256,16,2048,57.889
16,256,16,4096,94.689
16,256,16,8192,160.704
16,256,16,16384,302.432
16,256,32,16,18.656
16,256,32,32,18.656
16,256,32,64,19.264
