scenario,policy,policy_label,request_id,input_tokens,output_tokens,realized_reuse_tokens,effective_uncached_tokens,request_rate_rps,home_arrivals_1s,home_arrivals_5s,rerouted,initial_capacity_pressure,initial_slot_pressure,initial_waiting_reqs,initial_running_reqs,initial_admissible,initial_admissible_candidate_count,initial_total_waiting_reqs,initial_total_running_reqs,initial_max_running_reqs,initial_min_capacity_pressure,initial_max_capacity_pressure,initial_target_capacity_pressure,initial_target_slot_pressure,initial_target_waiting_reqs,initial_target_running_reqs,initial_target_admissible,scheduler_waiting_reqs_at_admission,scheduler_running_reqs_at_admission,scheduler_running_decode_reqs_at_admission,scheduler_inflight_prefill_tokens_at_admission,scheduler_inflight_decode_tokens_at_admission,scheduler_available_token_budget_at_admission,scheduler_prefill_tokens_ahead_at_admission,kv_moved,kv_migration_bytes,kv_bandwidth_gbps,kv_distance_m,router_queue_ms,scheduler_queue_ms,kv_transfer_ms,compute_ms,e2e_ttft_ms,other_communication_ms
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,144,4000.0,769.0,0.0,4000.0,2.5073430794920317,0,1,0,0.3157840560573398,0.0390625,0.0,4.0,1,10.0,0.0,40.0,10.0,0.1283007724336934,0.692478579835726,0.3220478984825538,0.0390625,0.0,4.0,1,0.0,4.0,4.0,0.0,4.0,2044.0,0.0,0,0.0,0.0,0.0,0.0,18.486027,0.0,453.942861,472.428888,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,157,4000.0,610.0,0.0,4000.0,2.5073430794920317,0,0,0,0.3166480343228866,0.0390625,0.0,4.0,1,10.0,0.0,43.0,13.0,0.1246288648051197,0.8819058145568526,0.447756736119607,0.0546875,0.0,6.0,1,0.0,4.0,4.0,0.0,4.0,2044.0,0.0,0,0.0,0.0,0.0,0.0,16.337402,0.0,454.771341,471.108743,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,171,4000.0,528.0,0.0,4000.0,2.5073430794920317,0,1,0,0.2527136426724265,0.03125,0.0,3.0,1,10.0,0.0,43.0,13.0,0.1222529245748661,0.8851457330526529,0.3820943879380534,0.046875,0.0,5.0,1,0.0,3.0,3.0,0.0,3.0,2045.0,0.0,0,0.0,0.0,0.0,0.0,4.292726,0.0,452.906889,457.199615,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,175,4000.0,537.0,0.0,4000.0,2.5073430794920317,2,2,0,0.3779904911767063,0.046875,0.0,5.0,1,10.0,0.0,45.0,12.0,0.1224689191412528,0.8238032761988331,0.4436528393582599,0.0546875,0.0,6.0,1,0.0,5.0,4.0,1956.0,4.0,88.0,0.0,0,0.0,0.0,0.0,0.0,6.712085,0.0,465.410828,472.122913,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,173,4000.0,721.0,0.0,4000.0,2.5073430794920317,1,2,0,0.3166480343228866,0.0390625,0.0,4.0,1,10.0,0.0,44.0,13.0,0.1250608539378931,0.8879536624156799,0.4462447741549001,0.0546875,0.0,6.0,1,0.0,4.0,3.0,1955.0,3.0,90.0,0.0,0,0.0,0.0,0.0,0.0,106.378728,0.0,454.443757,560.822485,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,183,4000.0,597.0,0.0,4000.0,2.5073430794920317,0,1,0,0.3756145509464527,0.046875,0.0,5.0,1,10.0,0.0,39.0,8.0,0.1233328974067996,0.5730335846238868,0.442140877393553,0.0546875,0.0,6.0,1,0.0,5.0,5.0,0.0,5.0,2043.0,0.0,0,0.0,0.0,0.0,0.0,2.210135,0.0,466.908073,469.118208,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,195,4000.0,519.0,0.0,4000.0,2.5073430794920317,0,1,0,0.3097362081985125,0.0390625,0.0,4.0,1,10.0,0.0,35.0,6.0,0.1222529245748661,0.4430048556590998,0.3131921212606995,0.0390625,0.0,4.0,1,0.0,4.0,4.0,0.0,4.0,2044.0,0.0,0,0.0,0.0,0.0,0.0,2.320601,0.0,458.458447,460.779048,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,203,4000.0,559.0,0.0,4000.0,2.5073430794920317,0,2,0,0.4356610404019524,0.0546875,0.0,6.0,1,10.0,1.0,40.0,6.0,0.1226849137076395,0.4434368447918732,0.4376049914994326,0.0546875,0.0,6.0,1,0.0,6.0,6.0,0.0,6.0,2042.0,0.0,0,0.0,0.0,0.0,0.0,21.105007,0.0,468.125798,489.230805,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,208,4000.0,562.0,0.0,4000.0,2.5073430794920317,1,4,0,0.5618018671717789,0.0703125,0.0,8.0,1,10.0,0.0,42.0,8.0,0.0617744459865931,0.5618018671717789,0.3764785292119995,0.046875,0.0,5.0,1,0.0,8.0,8.0,0.0,8.0,2040.0,0.0,0,0.0,0.0,0.0,0.0,17.77899,0.0,466.098073,483.877063,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,200,4000.0,766.0,0.0,4000.0,2.5073430794920317,0,1,0,0.3741025889817459,0.046875,0.0,5.0,1,10.0,0.0,40.0,6.0,0.1254928430706665,0.4462447741549001,0.4404129208624595,0.0546875,0.0,6.0,1,0.0,5.0,5.0,0.0,5.0,2043.0,0.0,0,0.0,0.0,0.0,0.0,16.978353,0.0,466.555855,483.534208,0.0
