case,term,transformed_value,coefficient,contribution
cache_reuse,home_cached_prefix_tokens,1.3271523057800854,0.029309092117852483,0.03889762918452885
cache_reuse,request_rate_rps,0.2931568345150166,-0.10213597573041894,-0.029941859335232177
cache_reuse,arrival_offset_s,-0.3546616723757847,0.13407217715863018,-0.04755026257014226
cache_reuse,interarrival_ms,-0.7940335884722279,-0.1296567715511841,0.10295183158451059
cache_reuse,global_arrivals_1s,-0.538709759493184,-0.0406226068670686,0.021883794775344693
cache_reuse,global_arrivals_5s,0.5296491284802103,-0.10790610935076496,-0.05715237677532293
cache_reuse,home_arrivals_1s,1.2876180004641533,0.07853459201499544,0.10112255433761648
cache_reuse,home_arrivals_5s,-0.39278732884463197,0.12211733559222265,-0.04796614205289264
cache_reuse,home_workload_share,-0.21047693195004571,0.28823088505957256,-0.0606659523805851
cache_reuse,router_initial_waiting_reqs,-0.12253194582202237,0.09304633043358153,-0.011401147919625603
cache_reuse,router_initial_running_reqs,0.18504246509914626,1.7425256700528462,0.32244124548512026
cache_reuse,router_initial_required_kv_bytes,-0.3294648766661365,1.1924778548735429,-0.39287956938301083
cache_reuse,router_initial_available_kv_bytes,-0.08215332564536015,-2.3972669112056195,0.19694344921512194
cache_reuse,router_initial_projected_active_kv_bytes,0.08215332564536015,2.3972669112056195,0.19694344921512194
cache_reuse,router_initial_capacity_pressure,0.062363223928647696,2.4262288555437794,0.15130745342042334
cache_reuse,router_initial_slot_pressure,0.18504246509914626,1.7425256700528462,0.32244124548512026
cache_reuse,router_initial_admissible_candidate_count,0.2852655002108069,-1.1936276149456668,-0.340500778642908
cache_reuse,router_initial_total_waiting_reqs,-0.407501740422964,-0.028945819864718874,0.011795471972842546
cache_reuse,router_initial_max_waiting_reqs,-0.4194297166824204,0.04050119370190966,-0.0169874041996918
cache_reuse,router_initial_total_running_reqs,0.2979053454625279,-0.20097453757303282,-0.059871389044866136
cache_reuse,router_initial_max_running_reqs,0.9281082394355724,-0.3278199275875237,-0.30425237584515347
cache_reuse,router_initial_min_available_kv_bytes,-0.7504297757926247,-0.4226668519025954,0.31718179090823917
cache_reuse,router_initial_max_available_kv_bytes,0.9277743796646261,0.21629230066727773,0.2006704550778184
cache_reuse,router_initial_min_capacity_pressure,-0.9382327204588885,-0.1082304834119082,0.10154538088813524
cache_reuse,router_initial_max_capacity_pressure,0.706283572645117,0.49608933129500143,0.3503797452581607
cache_reuse,policy_NEAREST_KV,1.0,0.1293844884768685,0.1293844884768685
cache_reuse,policy_NEAREST_MIGRATE,0.0,-0.04477169752929272,-0.0
cache_reuse,policy_NEAREST_MIGRATE_KV,0.0,-0.08571602418372766,-0.0
capacity_boundary,intercept,1.0,-14.013231727628632,-14.013231727628632
