route_probability,route_positive_ms,actual_route_positive,actual_route_ms,scenario
3.4058385347392503e-15,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.0128236329006707e-13,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.0014015861708099e-17,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.4788967435105155e-16,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.2287950039629993e-16,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
4.458449267390782e-21,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.248430292865191e-19,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.9421088597825637e-16,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
5.062255140644788e-18,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
4.2592819416940225e-15,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
4.0257720404193126e-18,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.4339891374060276e-16,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.1312351890835014e-19,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.4169474299403276e-21,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.0806379054345815e-19,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.9257780958347064e-18,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
4.475756130666199e-15,5703.906716686275,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.0371452787874306e-16,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.8091959346946007e-18,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.4244143659859295e-13,5703.906716686275,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
4.790614963203207e-15,5703.906716686275,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
7.2630905796671984e-12,5703.906716686275,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.847675777710974e-13,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
5.531908976638859e-15,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.9600063942995315e-10,5703.906716686275,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
6.759388675501794e-12,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
3.5337407317440074e-15,5495.521758666666,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.2004338991303864e-13,5703.906716686275,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.900007860356366e-22,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
7.146247011497617e-21,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.373045028879051e-19,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
5.935746304582924e-21,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
2.740495513082942e-16,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
9.679227772111372e-15,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
9.294365129022458e-12,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
1.9016797061033132e-19,5495.30348729425,0,0.0,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
