layer,tokens,time_us
down_proj,2112,313.537
down_proj,2128,279.563
down_proj,2144,314.71
down_proj,2160,280.277
down_proj,2176,312.95
down_proj,2192,314.902
down_proj,2208,313.909
down_proj,2224,315.317
down_proj,2240,314.987
down_proj,2256,318.304
down_proj,2272,315.328
down_proj,2288,317.857
down_proj,2304,316.725
down_proj,2320,312.234
down_proj,2336,328.47
down_proj,2352,312.895
down_proj,2368,332.234
down_proj,2384,312.555
down_proj,2400,328.555
down_proj,2416,311.382
down_proj,2432,334.198
down_proj,2448,321.674
down_proj,2464,329.643
down_proj,2480,324.277
down_proj,2496,336.033
down_proj,2512,329.75
down_proj,2528,329.43
down_proj,2544,329.813
down_proj,2560,332.748
down_proj,2576,344.811
down_proj,2592,347.253
down_proj,2608,349.28
down_proj,2624,425.132
down_proj,2640,349.024
down_proj,2656,347.681
down_proj,2672,349.834
down_proj,2688,422.314
down_proj,2704,374.293
down_proj,2720,377.249
down_proj,2736,375.317
down_proj,2752,382.303
down_proj,2768,374.261
down_proj,2784,372.63
down_proj,2800,372.961
down_proj,2816,385.375
down_proj,2832,374.55
down_proj,2848,372.95
down_proj,2864,373.528
down_proj,2880,405.772
down_proj,2896,394.316
down_proj,2912,395.158
down_proj,2928,394.87
down_proj,2944,394.209
down_proj,2960,395.436
down_proj,2976,401.364
down_proj,2992,393.451
down_proj,3008,401.079
down_proj,3024,394.582
down_proj,3040,401.676
down_proj,3056,396.341
down_proj,3072,401.6
down_proj,3088,409.559
down_proj,3104,457.792
down_proj,3120,405.664
down_proj,3136,459.883
down_proj,3152,410.773
down_proj,3168,451.626
down_proj,3184,417.75
down_proj,3200,469.28
down_proj,3216,422.593
down_proj,3232,468.471
down_proj,3248,421.045
down_proj,3264,469.121
down_proj,3280,441.12
down_proj,3296,465.409
down_proj,3312,441.922
down_proj,3328,463.137
down_proj,3344,464.672
down_proj,3360,467.382
down_proj,3376,469.589
down_proj,3392,469.889
down_proj,3408,469.419
down_proj,3424,469.707
down_proj,3440,469.27
down_proj,3456,469.132
down_proj,3472,478.07
down_proj,3488,486.561
down_proj,3504,478.636
down_proj,3520,496.214
down_proj,3536,481.292
down_proj,3552,461.461
down_proj,3568,468.288
down_proj,3584,496.021
down_proj,3600,467.617
down_proj,3616,490.496
down_proj,3632,469.44
down_proj,3648,499.148
down_proj,3664,481.226
down_proj,3680,490.667
down_proj,3696,478.112
down_proj,3712,495.809
down_proj,3728,481.547
down_proj,3744,489.1
down_proj,3760,490.476
down_proj,3776,498.561
down_proj,3792,491.98
down_proj,3808,488.524
down_proj,3824,490.093
down_proj,3840,498.082
down_proj,3856,539.072
down_proj,3872,524.394
down_proj,3888,523.766
down_proj,3904,526.795
down_proj,3920,524.375
down_proj,3936,526.177
down_proj,3952,525.089
down_proj,3968,524.79
down_proj,3984,524.31
down_proj,4000,523.648
down_proj,4016,524.545
down_proj,4032,524.972
down_proj,4048,523.639
down_proj,4064,523.842
down_proj,4080,520.886
down_proj,4096,523.595
down_proj,4112,524.758
down_proj,4128,529.664
down_proj,4144,528.204
down_proj,4160,526.688
down_proj,4176,529.899
down_proj,4192,528.941
down_proj,4208,531.915
down_proj,4224,528.236
down_proj,4240,555.286
down_proj,4256,614.701
down_proj,4272,553.057
down_proj,4288,613.738
down_proj,4304,556.823
down_proj,4320,614.87
down_proj,4336,556.491
down_proj,4352,616.085
down_proj,4368,618.39
down_proj,4384,616.896
down_proj,4400,618.763
down_proj,4416,624.374
down_proj,4432,582.453
down_proj,4448,615.296
down_proj,4464,585.493
down_proj,4480,612.044
down_proj,4496,611.861
down_proj,4512,612.567
down_proj,4528,612.246
down_proj,4544,616.888
down_proj,4560,626.379
down_proj,4576,630.389
down_proj,4592,626.892
down_proj,4608,629.579
down_proj,4624,597.889
down_proj,4640,629.238
down_proj,4656,596.524
down_proj,4672,665.1
down_proj,4688,600.405
down_proj,4704,624.609
down_proj,4720,601.869
down_proj,4736,665.292
down_proj,4752,597.589
down_proj,4768,625.611
down_proj,4784,644.139
down_proj,4800,668.653
down_proj,4816,625.196
down_proj,4832,659.414
down_proj,4848,624.32
down_proj,4864,658.038
down_proj,4880,638.678
down_proj,4896,649.548
down_proj,4912,640.226
down_proj,4928,669.27
down_proj,4944,644.939
down_proj,4960,658.709
down_proj,4976,650.901
down_proj,4992,674.572
down_proj,5008,656.237
down_proj,5024,661.569
down_proj,5040,655.039
down_proj,5056,668.916
down_proj,5072,655.533
down_proj,5088,661.067
down_proj,5104,660.544
down_proj,5120,667.425
down_proj,5136,662.027
