scenario_id,policy,n,router_queue_ms_mean_ms,router_queue_ms_mean_share,scheduler_queue_ms_mean_ms,scheduler_queue_ms_mean_share,kv_transfer_ms_mean_ms,kv_transfer_ms_mean_share,compute_prefill_ms_mean_ms,compute_prefill_ms_mean_share,other_communication_ms_mean_ms,other_communication_ms_mean_share,dominant_component
2026-07-14_prompt6000_120s_three_policy,NEAREST_MIGRATE_KV,300,0.03040947999997139,3.9749704842620564e-05,19.23049794819332,0.03635632710148984,8.445737808473375,0.011078881480216367,410.66050998000003,0.9525033749846867,0.016517146666666666,2.1666728764390545e-05,compute_prefill_ms
2026-07-14_prompt6000_90s_three_policy_良結果,NEAREST_KV,300,1563.361327946667,0.13741710149100164,24.383281756666666,0.03841687275198635,0.0,0.0,416.30749352000004,0.824166025757012,0.0,0.0,router_queue_ms
2026-07-14_prompt6000_90s_three_policy_良結果,NEAREST_MIGRATE,300,18.967768419999995,0.00984653146556783,42.08782916,0.053336812308273036,0.0,0.0,457.43756556333335,0.9367659030530573,0.04955144,5.075317310183113e-05,compute_prefill_ms
2026-07-14_prompt6000_90s_three_policy_良結果,NEAREST_MIGRATE_KV,300,5.274225489999877,0.004639155233438441,29.94330190124667,0.04740211165187827,25.337213425420124,0.029458823902005656,426.4826299733333,0.91844229722826,0.049551439999999995,5.7611984417603526e-05,compute_prefill_ms
2026-07-16_input10000_reuse05_180s_three_policy_良結果,NEAREST_KV,300,2277.2929256566667,0.15714809264341967,33.78821524,0.027444305686549875,0.0,0.0,735.24431394,0.8154076016700305,0.0,0.0,router_queue_ms
2026-07-16_input10000_reuse05_180s_three_policy_良結果,NEAREST_MIGRATE,300,114.28774707333332,0.02792138410418167,45.374276179999995,0.036042384669280454,0.0,0.0,807.7982274933333,0.9359948536965771,0.06944905,4.1377529960912964e-05,compute_prefill_ms
2026-07-16_input10000_reuse05_180s_three_policy_良結果,NEAREST_MIGRATE_KV,300,50.46476120000021,0.017329559819255998,35.245992899948504,0.03150651752246772,49.300735036717946,0.03396313998540676,739.2887133833333,0.917160188392992,0.05892646666666666,4.0594279877467676e-05,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,NEAREST_KV,300,0.0,0.0,30.868542250000004,0.04492120821615673,0.0,0.0,472.94585901000005,0.9550787917838434,0.0,0.0,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,300,0.0,0.0,30.868542250000004,0.04492120821615673,0.0,0.0,472.94585901000005,0.9550787917838434,0.0,0.0,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE_KV,300,0.0,0.0,30.868542250000004,0.04492120821615673,0.0,0.0,472.94585901000005,0.9550787917838434,0.0,0.0,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2,NEAREST_KV,300,71.27939163333333,0.022852469910889267,30.984050749999998,0.045801178816955244,0.0,0.0,476.0933037266667,0.9313463512721556,0.0,0.0,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2,NEAREST_MIGRATE,300,0.0003515766666666667,4.64375804015811e-07,32.02267081,0.04884670579006181,0.0,0.0,475.89976786666665,0.951146648927562,0.004089406666666667,6.1809065723091595e-06,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2,NEAREST_MIGRATE_KV,300,0.0003515766666666667,4.64375804015811e-07,32.02267081,0.04884670579006181,0.0,0.0,475.89976786666665,0.951146648927562,0.004089406666666667,6.1809065723091595e-06,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3,NEAREST_KV,300,0.0,0.0,24.196724333333336,0.038470258483501066,0.0,0.0,477.21520726333335,0.9615297415164987,0.0,0.0,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3,NEAREST_MIGRATE,300,0.0,0.0,24.196724333333336,0.038470258483501066,0.0,0.0,477.21520726333335,0.9615297415164987,0.0,0.0,compute_prefill_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3,NEAREST_MIGRATE_KV,300,0.0,0.0,24.196724333333336,0.038470258483501066,0.0,0.0,477.21520726333335,0.9615297415164987,0.0,0.0,compute_prefill_ms
