feature_set,target,group,feature,coefficient_ms_per_sd,absolute_coefficient
state,scheduler_queue_ms,kv_movement,migration_tokens_realized,-6.747019086523631,6.747019086523631
state,scheduler_queue_ms,scheduler_state,scheduler_waiting_reqs_at_first_schedule,4.962932179967425,4.962932179967425
state,scheduler_queue_ms,scheduler_state,scheduler_scheduled_prefill_tokens,-50.23660214626885,50.23660214626885
state,scheduler_queue_ms,scheduler_state,scheduler_scheduled_decode_tokens,-86.36985450523738,86.36985450523738
state,scheduler_queue_ms,scheduler_state,scheduler_batch_num_seqs,81.68291946976605,81.68291946976605
state,scheduler_queue_ms,policy,policy_NEAREST_KV,-0.25070914253133514,0.25070914253133514
state,scheduler_queue_ms,policy,policy_NEAREST_MIGRATE,0.09011548422036274,0.09011548422036274
state,scheduler_queue_ms,policy,policy_NEAREST_MIGRATE_KV,0.1605936583068658,0.1605936583068658
state,compute_prefill_ms,request_demand,output_tokens_actual,-0.10785518172253375,0.10785518172253375
state,compute_prefill_ms,request_demand,minimum_prefill_chunks,11.4117633373509,11.4117633373509
state,compute_prefill_ms,nominal_reuse,nominal_reuse_tokens,-11.411763337350564,11.411763337350564
state,compute_prefill_ms,nominal_reuse,nominal_reuse_ratio,-11.411763337353667,11.411763337353667
state,compute_prefill_ms,realized_reuse,reuse_tokens_realized,-11.411763337350163,11.411763337350163
state,compute_prefill_ms,realized_reuse,reuse_preservation_ratio,-11.411763337353761,11.411763337353761
state,compute_prefill_ms,realized_reuse,realized_uncached_tokens,11.411763337339606,11.411763337339606
state,compute_prefill_ms,offered_load,request_rate_rps,-3.1060752857032115,3.1060752857032115
state,compute_prefill_ms,offered_load,offered_uncached_tokens_per_s,11.603820999102295,11.603820999102295
state,compute_prefill_ms,offered_load,arrival_offset_s,4.198199687675699,4.198199687675699
state,compute_prefill_ms,offered_load,interarrival_ms,-3.0212316334276035,3.0212316334276035
state,compute_prefill_ms,offered_load,global_arrivals_1s,-1.3109287810054504,1.3109287810054504
state,compute_prefill_ms,offered_load,global_arrivals_5s,0.27633054087394127,0.27633054087394127
state,compute_prefill_ms,home_cell_load,home_arrivals_1s,17.03724308241927,17.03724308241927
state,compute_prefill_ms,home_cell_load,home_arrivals_5s,1.3780875502221452,1.3780875502221452
state,compute_prefill_ms,home_cell_load,home_workload_share,2.292792344179001,2.292792344179001
state,compute_prefill_ms,routing_result,rerouted,0.15908560480279918,0.15908560480279918
state,compute_prefill_ms,kv_movement,migration_tokens_realized,-11.411763337342219,11.411763337342219
state,compute_prefill_ms,scheduler_state,scheduler_waiting_reqs_at_first_schedule,-1.3135904685874895,1.3135904685874895
state,compute_prefill_ms,scheduler_state,scheduler_scheduled_prefill_tokens,-4.799811253527563,4.799811253527563
state,compute_prefill_ms,scheduler_state,scheduler_scheduled_decode_tokens,-290.4556302669892,290.4556302669892
state,compute_prefill_ms,scheduler_state,scheduler_batch_num_seqs,295.75877028742264,295.75877028742264
state,compute_prefill_ms,policy,policy_NEAREST_KV,0.011243530730183263,0.011243530730183263
state,compute_prefill_ms,policy,policy_NEAREST_MIGRATE,-0.015508812839865911,0.015508812839865911
state,compute_prefill_ms,policy,policy_NEAREST_MIGRATE_KV,0.004265282099610446,0.004265282099610446
state,e2e_ttft_ms,request_demand,output_tokens_actual,1.0826934566145878,1.0826934566145878
state,e2e_ttft_ms,request_demand,minimum_prefill_chunks,23.520721263864964,23.520721263864964
state,e2e_ttft_ms,nominal_reuse,nominal_reuse_tokens,-23.520721263869692,23.520721263869692
state,e2e_ttft_ms,nominal_reuse,nominal_reuse_ratio,-23.520721263873327,23.520721263873327
state,e2e_ttft_ms,realized_reuse,reuse_tokens_realized,-23.520721263868012,23.520721263868012
state,e2e_ttft_ms,realized_reuse,reuse_preservation_ratio,-23.52072126387416,23.52072126387416
state,e2e_ttft_ms,realized_reuse,realized_uncached_tokens,23.520721263864804,23.520721263864804
state,e2e_ttft_ms,offered_load,request_rate_rps,-5.045143509637192,5.045143509637192
state,e2e_ttft_ms,offered_load,offered_uncached_tokens_per_s,24.149337452189833,24.149337452189833
state,e2e_ttft_ms,offered_load,arrival_offset_s,4.838432453668691,4.838432453668691
state,e2e_ttft_ms,offered_load,interarrival_ms,-5.873756987271436,5.873756987271436
state,e2e_ttft_ms,offered_load,global_arrivals_1s,0.3712699654414508,0.3712699654414508
state,e2e_ttft_ms,offered_load,global_arrivals_5s,0.7175791232260331,0.7175791232260331
state,e2e_ttft_ms,home_cell_load,home_arrivals_1s,54.359942219790746,54.359942219790746
state,e2e_ttft_ms,home_cell_load,home_arrivals_5s,-3.439240716162346,3.439240716162346
