feature_set,fold,test_scenario,target,group,n_test,full_mae_ms,ablated_mae_ms,mae_increase_ms,full_r2,partial_r2
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,e2e_ttft_ms,nominal_reuse,900,12282.235272290542,11805.187725369102,-477.0475469214398,0.047693538112956735,-0.05246504771539984
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,e2e_ttft_ms,realized_reuse,900,12282.235272290542,11849.275391710988,-432.959880579554,0.047693538112956735,-0.034996821529023614
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,e2e_ttft_ms,offered_load,900,12282.235272290542,12617.171778724372,334.9365064338308,0.047693538112956735,0.041008698870690585
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,e2e_ttft_ms,home_cell_load,900,12282.235272290542,12605.436991649209,323.2017193586671,0.047693538112956735,0.0362496815316985
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,e2e_ttft_ms,policy,900,12282.235272290542,12326.722491713876,44.487219423333954,0.047693538112956735,0.00746427213851486
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,e2e_ttft_ms,routing_result,900,12282.235272290542,12305.20775619458,22.97248390403911,0.047693538112956735,-0.021572215032195308
common,2,2026-07-14_input_reuse_90s_sweep/input10000_reuse025,e2e_ttft_ms,kv_movement,900,12282.235272290542,12159.86175634106,-122.37351594948086,0.047693538112956735,-0.025941338374269374
common,3,2026-07-14_input_reuse_90s_sweep/input10000_reuse05,router_queue_ms,request_demand,900,9725.06621509949,9861.926132310522,136.85991721103164,-0.07374573675785245,0.05153090749047551
common,3,2026-07-14_input_reuse_90s_sweep/input10000_reuse05,router_queue_ms,nominal_reuse,900,9725.06621509949,9340.553204343414,-384.51301075607626,-0.07374573675785245,-0.10125461446089212
common,3,2026-07-14_input_reuse_90s_sweep/input10000_reuse05,router_queue_ms,realized_reuse,900,9725.06621509949,9272.384148217725,-452.6820668817654,-0.07374573675785245,-0.14422315848153966
common,3,2026-07-14_input_reuse_90s_sweep/input10000_reuse05,router_queue_ms,offered_load,900,9725.06621509949,10256.33264730759,531.2664322081,-0.07374573675785245,0.07084978737086156
common,3,2026-07-14_input_reuse_90s_sweep/input10000_reuse05,router_queue_ms,home_cell_load,900,9725.06621509949,10121.504491824482,396.43827672499174,-0.07374573675785245,0.06472709329034676
common,3,2026-07-14_input_reuse_90s_sweep/input10000_reuse05,router_queue_ms,policy,900,9725.06621509949,9737.93578957212,12.86957447263012,-0.07374573675785245,0.009884155458165012
