request id,output_toks,user_id,home_gpu,send_time_s,A_target_gpu,A_rerouted,A_e2e_ttft_ms,A_completion_ms,A_prefill_ms,A_queue_wait_ms,B_target_gpu,B_rerouted,B_e2e_ttft_ms,B_completion_ms,B_prefill_ms,B_queue_wait_ms,C_target_gpu,C_rerouted,C_e2e_ttft_ms,C_completion_ms,C_prefill_ms,C_queue_wait_ms,delta_B_minus_A_ttft_ms,delta_C_minus_A_ttft_ms,delta_C_minus_B_ttft_ms,delta_C_minus_B_completion_ms,redirect_group
77,536,2,1,33.074107942,1,0,395.302741,13797.078096,377.812934,17.489807,1,0,395.302741,13797.078096,377.812934,17.489807,1,0,395.302741,13797.078096,377.812934,17.489807,0.0,0.0,0.0,0.0,neither
78,597,14,7,34.245429058,7,0,391.84157,14693.752332,381.193233,10.648337,7,0,391.84157,14693.752332,381.193233,10.648337,7,0,391.84157,14693.752332,381.193233,10.648337,0.0,0.0,0.0,0.0,neither
79,745,4,2,34.696879238,2,0,395.610587,18116.425315,381.905969,13.704618,2,0,395.610587,18116.425315,381.905969,13.704618,2,0,395.610587,18116.425315,381.905969,13.704618,0.0,0.0,0.0,0.0,neither
80,530,2,1,34.823570234,1,0,400.917258,13475.365513,381.442353,19.474905,1,0,400.917258,13475.365513,381.442353,19.474905,1,0,400.917258,13475.365513,381.442353,19.474905,0.0,0.0,0.0,0.0,neither
81,734,16,8,35.205704946,8,0,385.015047,18953.379796,378.016294,6.998753,8,0,385.015047,18953.379796,378.016294,6.998753,8,0,385.015047,18953.379796,378.016294,6.998753,0.0,0.0,0.0,0.0,neither
82,773,9,4,35.708181596,4,0,3484.733201,28309.487685,414.33304,3070.400161,4,0,428.411983,19591.872977,414.381271,14.030712,4,0,428.411983,19591.872977,414.381271,14.030712,-3056.321218,-3056.321218,0.0,0.0,neither
83,522,12,6,35.887739972,6,0,385.159442,12103.893082,381.912305,3.247137,6,0,385.159442,12103.893082,381.912305,3.247137,6,0,385.159442,12103.893082,381.912305,3.247137,0.0,0.0,0.0,0.0,neither
84,769,9,4,35.997049132,4,0,3611.301022,27727.523851,415.435357,3195.865665,5,1,734.689041,22183.02588,723.260906,10.808742,5,1,732.688985,22409.451081,392.70147,22.65295418224847,-2876.611981,-2878.612037,-2.0000559999999723,226.4252009999982,both
85,587,19,9,36.0354435,9,0,390.276271,13671.071336,389.249768,1.026503,9,0,390.276271,13671.071336,389.249768,1.026503,9,0,390.276271,13671.071336,389.249768,1.026503,0.0,0.0,0.0,0.0,neither
86,773,14,7,37.079719226,7,0,397.62753,18358.28815,384.054865,13.572665,7,0,397.62753,18358.28815,384.054865,13.572665,7,0,397.62753,18358.28815,384.054865,13.572665,0.0,0.0,0.0,0.0,neither
87,768,2,1,37.589933726,1,0,395.115802,18087.893578,384.262385,10.853417,1,0,395.115802,18087.893578,384.262385,10.853417,1,0,395.115802,18087.893578,384.262385,10.853417,0.0,0.0,0.0,0.0,neither
88,767,5,2,38.757160824,2,0,395.915349,18705.788487,377.834982,18.080367,2,0,395.915349,18705.788487,377.834982,18.080367,2,0,395.915349,18705.788487,377.834982,18.080367,0.0,0.0,0.0,0.0,neither
89,552,17,8,39.367113014,8,0,393.579926,14966.056214,381.910417,11.669509,8,0,393.579926,14966.056214,381.910417,11.669509,8,0,393.579926,14966.056214,381.910417,11.669509,0.0,0.0,0.0,0.0,neither
90,634,9,4,40.188504198,4,0,419.563108,19292.497213,407.443408,12.1197,4,0,412.036591,15810.171247,391.676641,20.35995,4,0,412.036591,15810.171247,391.676641,20.35995,-7.526517000000013,-7.526517000000013,0.0,0.0,neither
91,571,2,1,40.464692594,1,0,403.408997,13621.041799,389.42964,13.979357,1,0,403.408997,13621.041799,389.42964,13.979357,1,0,403.408997,13621.041799,389.42964,13.979357,0.0,0.0,0.0,0.0,neither
92,519,6,3,40.680874342,3,0,384.892335,13068.062438,378.302502,6.589833,3,0,384.892335,13068.062438,378.302502,6.589833,3,0,384.892335,13068.062438,378.302502,6.589833,0.0,0.0,0.0,0.0,neither
93,767,12,6,41.481140182,6,0,380.5311,17196.728745,378.063398,2.467702,6,0,380.5311,17196.728745,378.063398,2.467702,6,0,380.5311,17196.728745,378.063398,2.467702,0.0,0.0,0.0,0.0,neither
94,580,19,9,41.574590496,9,0,402.326993,14043.565915,384.764785,17.562208,9,0,402.326993,14788.648949,384.764785,17.562208,9,0,402.326993,14043.565915,384.764785,17.562208,0.0,0.0,0.0,-745.0830340000011,neither
95,599,3,1,41.612819018,1,0,401.83572,13816.130779,390.769807,11.065913,1,0,401.83572,13816.130779,390.769807,11.065913,1,0,401.83572,13816.130779,390.769807,11.065913,0.0,0.0,0.0,0.0,neither
96,769,2,1,41.984421778,1,0,426.107492,16470.006864,395.874532,30.23296,1,0,426.107492,16470.006864,395.874532,30.23296,1,0,426.107492,16470.006864,395.874532,30.23296,0.0,0.0,0.0,0.0,neither
97,768,6,3,42.33404446,3,0,390.951892,19745.959996,381.878225,9.073667,3,0,390.951892,19745.959996,381.878225,9.073667,3,0,390.951892,19745.959996,381.878225,9.073667,0.0,0.0,0.0,0.0,neither
98,770,1,0,42.827478786,0,0,361.610648,17326.315408,361.609295,0.001353,0,0,361.610648,17326.315408,361.609295,0.001353,0,0,361.610648,17326.315408,361.609295,0.001353,0.0,0.0,0.0,0.0,neither
