pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.0491,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.0139,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.0854,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.0832,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.1645,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.5167,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.4932,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.2629,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.5351,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.2957,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.5792,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.2792,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.3432,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.2892,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.2158,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.3152,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.4257,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.0757,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,-0.0272,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.0236,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.2165,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,0.0796,4
16,n<=16,sr>70%,kvB<=4k,kp=0,0.4097,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.7708,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.1345,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.0637,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9584,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,0.3637,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9852,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.8522,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.8111,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.7867,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.3761,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.7024,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.2106,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.0677,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.3627,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.9246,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.0153,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.9187,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.965,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0679,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.0648,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0451,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0724,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0278,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0765,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0715,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.085,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.0819,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.1068,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0938,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.1208,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0607,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0452,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0076,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0616,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0116,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.0738,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.1456,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.1557,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.0871,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.1364,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.099,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.1405,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.1187,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.1218,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.1212,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.1448,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.1489,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.1622,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.0353,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.031,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,0.0009,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.0422,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,-0.0075,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.0609,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0655,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.0614,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.0453,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.0718,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.0348,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.075,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.0232,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0258,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0243,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0553,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0345,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.0663,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.0767,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0591,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.0221,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.0765,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.0251,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.0855,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,1.054,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,1.1317,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.7096,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,1.083,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.793,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,1.0468,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.0579,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.0572,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.0658,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.0893,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.083,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.1185,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.0228,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.0224,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,-0.0082,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.0404,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,-0.0456,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.0747,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,3.7791,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,3.8871,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,2.5048,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,3.7454,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,2.497,4
16,n<=32,sr>70%,kvB<=16k,kp=0,3.754,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.3097,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.3264,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,0.3024,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.2947,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.3568,4
16,n<=32,sr>70%,kvB<=1k,kp=0,0.3998,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.0986,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.0414,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,0.0378,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.1654,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.0493,4
16,n<=32,sr>70%,kvB<=4k,kp=0,0.2286,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,0.3275,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,0.2351,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,0.2836,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,0.4211,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.2042,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,0.5174,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.0847,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,-0.0038,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,-0.0186,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.3,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,-0.0047,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.3299,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.3028,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,0.2227,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,-0.0038,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.2428,2
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,-0.2268,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.4064,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,0.6483,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,0.384,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,0.1483,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,0.7927,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,0.1101,2
16,n<=4,sr<=70%,kvB<=16k,kp=0,0.9435,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,-0.0147,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,-0.1066,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,-0.2223,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.2705,2
16,n<=4,sr<=70%,kvB<=1k,kp<=8k,-0.2158,2
