test_scenario,feature,classifier_logloss_increase,positive_log_mae_increase,composite_mae_increase_ms
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,scheduler_waiting_reqs_at_first_schedule,-0.00023274568360252823,-0.000501038440708923,-4.0715291873717945
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,scheduler_scheduled_prefill_tokens,-0.00015680216103519662,0.0,0.003751127042249891
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,scheduler_scheduled_decode_tokens,-0.00015680216102320968,0.0,0.0037511270384982254
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,scheduler_batch_num_seqs,0.0008303196910985286,0.001055984510778818,0.2197187403659342
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,input_tokens,0.00021634132150328417,0.0,0.017970143208913214
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,output_tokens_actual,-0.00019928448706504204,0.01419802338030507,16.493434824636893
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,minimum_prefill_chunks,0.000882598871496193,0.006504338561572509,-5.498892884430859
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,nominal_reuse_tokens,-0.0002452374987470321,0.0,-0.00942777289290575
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,nominal_reuse_ratio,0.00013246501875718852,0.0,-0.07148228139655544
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,reuse_tokens_realized,-0.00028266180817675124,0.0,-0.014617311354697904
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,reuse_preservation_ratio,-9.830256762770329e-05,0.0,0.028332031286680603
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,reuse_lost,-0.000156614049948621,0.0,0.07605348051262695
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,realized_uncached_tokens,-0.00013465005766253452,0.026858136119343345,34.29412451427629
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,request_rate_rps,-0.0004931098269210857,0.005828458501282996,9.181852741667996
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,offered_uncached_tokens_per_s,-0.0003661283815798791,0.026085093845382656,34.58711801737516
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,arrival_offset_s,-0.0006527760269584848,-0.005970791568665201,15.010283387915308
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,interarrival_ms,-0.00038974575668641875,0.008221992938627687,18.415615312620105
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,global_arrivals_1s,-0.0001637060179536451,0.0045365288708185125,26.379096118517083
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,global_arrivals_5s,-7.420906565420993e-05,0.021167694407354776,39.78269843474257
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,home_arrivals_1s,-0.0007809819054072839,0.009467712652268534,26.656938959195884
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,home_arrivals_5s,-0.0007329346021849106,0.017489783885287102,18.306248751486464
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,home_workload_share,0.0006251943197565224,0.02969425829787492,65.89158526768702
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,policy,0.005710156139713783,-0.00372204672055515,-9.384123968272917
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,rerouted,0.006820257293125735,0.034645051242723546,23.973724487561952
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,kv_moved,-0.00035253655381493193,0.0,0.0867562190865101
